game_id,home_club_id,away_club_id,home_club_total_shots,away_club_total_shots,home_club_shots_off_target,away_club_shots_off_target,home_club_shots_saved,away_club_shots_saved,home_club_corners,away_club_corners,home_club_free_kicks,away_club_free_kicks,home_club_fouls,away_club_fouls,home_club_offsides,away_club_offsides
2718916,2448,1108,3.0,7.0,4.0,2.0,3.0,1.0,8.0,4.0,25.0,20.0,19.0,21.0,1.0,4.0
2718904,1050,16795,6.0,0.0,8.0,4.0,0.0,4.0,7.0,4.0,19.0,14.0,11.0,17.0,3.0,2.0
2718863,131,714,7.0,1.0,5.0,3.0,0.0,3.0,5.0,2.0,16.0,13.0,10.0,16.0,3.0,0.0
2718841,1244,1050,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,20.0,26.0,26.0,18.0,0.0,2.0
2726506,46,506,6.0,2.0,8.0,4.0,1.0,4.0,5.0,4.0,20.0,13.0,13.0,18.0,0.0,2.0
2720968,1085,3349,5.0,3.0,2.0,0.0,4.0,10.0,7.0,7.0,22.0,21.0,19.0,21.0,2.0,1.0
2720901,1085,982,9.0,1.0,3.0,7.0,1.0,8.0,8.0,5.0,24.0,16.0,13.0,19.0,3.0,5.0
2720839,8024,2995,2.0,2.0,3.0,4.0,2.0,1.0,5.0,4.0,24.0,26.0,23.0,22.0,3.0,2.0
2720752,1085,68608,3.0,2.0,4.0,7.0,3.0,2.0,5.0,3.0,17.0,14.0,13.0,16.0,1.0,1.0
2719079,13,621,4.0,2.0,4.0,7.0,1.0,1.0,2.0,5.0,12.0,16.0,14.0,12.0,2.0,0.0
2719074,714,1049,2.0,3.0,5.0,5.0,2.0,2.0,7.0,2.0,15.0,20.0,20.0,14.0,0.0,1.0
2719061,2448,472,3.0,4.0,7.0,4.0,4.0,2.0,5.0,4.0,16.0,20.0,19.0,15.0,1.0,1.0
2719046,16795,1084,1.0,6.0,1.0,9.0,4.0,1.0,2.0,4.0,16.0,22.0,22.0,13.0,0.0,3.0
2719036,1084,1049,3.0,3.0,6.0,6.0,3.0,1.0,7.0,6.0,14.0,18.0,17.0,13.0,1.0,1.0
2735503,1082,1158,3.0,6.0,6.0,4.0,5.0,3.0,5.0,3.0,18.0,18.0,17.0,17.0,1.0,1.0
2732966,150,1108,3.0,5.0,6.0,3.0,1.0,3.0,4.0,0.0,17.0,14.0,13.0,15.0,1.0,2.0
2726809,1390,2921,4.0,8.0,7.0,2.0,8.0,3.0,3.0,5.0,17.0,19.0,16.0,16.0,3.0,1.0
2726800,398,458,8.0,2.0,3.0,3.0,0.0,2.0,5.0,2.0,7.0,15.0,10.0,7.0,5.0,0.0
2726754,4083,430,1.0,10.0,7.0,11.0,9.0,1.0,2.0,1.0,18.0,23.0,15.0,14.0,8.0,4.0
2726750,252,1038,3.0,4.0,1.0,6.0,3.0,3.0,5.0,2.0,7.0,15.0,11.0,7.0,4.0,0.0
2726660,2921,430,3.0,4.0,0.0,13.0,7.0,3.0,1.0,14.0,17.0,11.0,10.0,15.0,1.0,2.0
2726636,506,12,6.0,2.0,0.0,3.0,2.0,4.0,5.0,8.0,17.0,19.0,16.0,17.0,3.0,0.0
2726581,1038,46,4.0,3.0,5.0,8.0,3.0,3.0,4.0,5.0,17.0,13.0,12.0,15.0,1.0,2.0
2726519,5,398,8.0,5.0,4.0,9.0,5.0,6.0,3.0,8.0,14.0,15.0,14.0,12.0,1.0,2.0
2754183,27,1083,8.0,2.0,5.0,2.0,2.0,3.0,8.0,2.0,11.0,14.0,13.0,11.0,1.0,0.0
2735660,855,347,5.0,0.0,9.0,5.0,0.0,4.0,7.0,3.0,13.0,15.0,14.0,13.0,1.0,0.0
2735653,1082,995,5.0,3.0,8.0,2.0,3.0,2.0,2.0,9.0,17.0,8.0,5.0,13.0,3.0,4.0
2735652,1158,40,4.0,2.0,4.0,5.0,1.0,3.0,7.0,3.0,9.0,13.0,13.0,9.0,0.0,0.0
2735641,618,583,2.0,9.0,7.0,7.0,4.0,2.0,5.0,8.0,6.0,12.0,9.0,5.0,3.0,1.0
2735596,583,855,6.0,4.0,8.0,5.0,4.0,2.0,7.0,4.0,11.0,15.0,12.0,11.0,3.0,0.0
