game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3080895,12321,1,16.0,Eusebio,940,2,15.0,Fran Escribá,Away,0
3080908,410,2,9.0,Julio Velázquez,130,2,10.0,Roberto D'Aversa,Away,0
3080912,6574,2,5.0,Roberto De Zerbi,1390,2,14.0,Rolando Maran,Away,0
3080918,5,2,9.0,Gennaro Gattuso,6195,3,2.0,Carlo Ancelotti,Away,0
3080937,6574,1,4.0,Roberto De Zerbi,506,2,1.0,Massimiliano Allegri,Away,0
3080977,1038,0,12.0,Marco Giampaolo,1390,0,14.0,Rolando Maran,Away,0
3080978,5,1,8.0,Gennaro Gattuso,749,1,17.0,Aurelio Andreazzoli,Away,0
3081045,749,3,18.0,Aurelio Andreazzoli,8970,3,19.0,Moreno Longo,Away,0
3081086,150,0,9.0,Quique Setién,3368,4,15.0,Paco López,Away,0
3081089,12321,0,18.0,Eusebio,366,1,17.0,Sergio,Away,0
3081090,367,0,20.0,Paco Jémez,368,5,5.0,Joaquín Caparrós,Away,0
3081096,1108,1,8.0,Abelardo,621,1,7.0,Gaizka Garitano,Away,0
3081108,131,0,1.0,Ernesto Valverde,940,2,14.0,Fran Escribá,Away,0
3081147,1038,1,12.0,Marco Giampaolo,12,4,6.0,Eusebio Di Francesco,Away,0
3081153,800,2,11.0,Gian Piero Gasperini,749,3,16.0,Giuseppe Iachini,Away,0
3081164,506,3,1.0,Massimiliano Allegri,430,0,11.0,Stefano Pioli,Away,1
3081165,1390,1,13.0,Rolando Maran,8970,1,19.0,Moreno Longo,Away,0
3081169,410,0,17.0,Davide Nicola,6574,0,9.0,Roberto De Zerbi,Away,0
3081190,862,0,20.0,Domenico Di Carlo,2722,0,15.0,Leonardo Semplici,Away,0
3081202,506,2,1.0,Massimiliano Allegri,800,2,11.0,Gian Piero Gasperini,Away,0
3081257,506,3,1.0,Massimiliano Allegri,6574,0,11.0,Roberto De Zerbi,Away,1
3081281,410,0,16.0,Igor Tudor,398,2,6.0,Simone Inzaghi,Away,0
3081314,749,0,18.0,Aurelio Andreazzoli,506,1,1.0,Massimiliano Allegri,Away,0
3081324,430,2,10.0,Stefano Pioli,12,2,7.0,Claudio Ranieri,Away,0
3081333,862,0,20.0,Domenico Di Carlo,1025,3,17.0,Siniša Mihajlović,Away,0
3081339,6574,2,11.0,Roberto De Zerbi,398,2,6.0,Simone Inzaghi,Away,0
